tas_nit_id,n_points,avg_distance_to_stop,min_distance_to_stop,max_distance_to_stop,nearest_stop_name,street_name,highway_type,center_lat,center_lon,walking_class,poi_count_pendidikan,dist_nearest_pendidikan,poi_count_kesehatan,dist_nearest_kesehatan,poi_count_komersial,dist_nearest_komersial,poi_count_katering,dist_nearest_katering,poi_count_finansial,dist_nearest_finansial,poi_count_olahraga,dist_nearest_olahraga,transit_accessibility,norm_pendidikan,norm_kesehatan,norm_komersial,norm_katering,norm_finansial,norm_olahraga,service_accessibility,accessibility_score
10043935231_3448592238_STOP121,4,375.075,299.9,450.3,Leuwipanjang Soekarno Hatta,Jalan Soekarno-Hatta,trunk,-6.947358854440924,107.59676620661506,Dekat (200-400m),0,553.1,0,1099.6,3,277.5,7,13.9,3,269.1,0,1033.9,0.53115625,0.0,0.0,0.12,0.14893617021276595,0.21428571428571427,0.0,0.0805369807497467,0.3058
10043935231_3448592238_STOP198,1,481.8,481.8,481.8,Karasak Lama,Jalan Soekarno-Hatta,trunk,-6.9474508540602224,107.59789281484366,Sedang (400-800m),0,455.9,0,993.1,1,393.8,6,139.6,1,356.7,0,933.5,0.39774999999999994,0.0,0.0,0.04,0.1276595744680851,0.07142857142857142,0.0,0.03984802431610942,0.2188
10043935232_10043935231_STOP121,1,304.4,304.4,304.4,Leuwipanjang Soekarno Hatta,,trunk_link,-6.947532699999992,107.5960773,Dekat (200-400m),0,603.2,0,1152.7,3,229.5,7,66.6,3,258.3,0,1082.6,0.6195,0.0,0.0,0.12,0.14893617021276595,0.21428571428571427,0.0,0.0805369807497467,0.35
10043935232_10816174967_STOP121,2,279.45,254.5,304.4,Leuwipanjang Soekarno Hatta,Jalan Soekarno-Hatta,trunk,-6.947497234966626,107.59585401403604,Dekat (200-400m),0,626.1,0,1175.9,7,209.9,8,89.6,3,249.8,0,1105.1,0.6506875000000001,0.0,0.0,0.28,0.1702127659574468,0.21428571428571427,0.0,0.11074974670719352,0.3807
10101152064_10101152065_STOP154,1,80.8,80.8,80.8,Ditjen Bina Konstruksi Kementerian PU,Jalan Cihapit,tertiary,-6.907335183481348,107.62351954837877,Sangat Dekat (<200m),0,430.0,1,159.0,20,23.6,34,23.1,9,99.9,0,552.9,0.899,0.0,0.3333333333333333,0.8,0.723404255319149,0.6428571428571429,0.0,0.4165991219182708,0.6578
10101152064_10101152065_STOP665,1,38.8,38.8,38.8,Simpang Brantas Cihapit 1,Jalan Cihapit,tertiary,-6.906472300000003,107.6245656,Sangat Dekat (<200m),0,523.1,1,207.0,17,63.7,25,113.6,7,186.2,0,703.7,0.9515,0.0,0.3333333333333333,0.68,0.5319148936170213,0.5,0.0,0.34087470449172574,0.6462
10101152064_10101152065_STOP692,2,35.7,12.1,59.3,Simpang Brantas Cihapit 2,Jalan Cihapit,tertiary,-6.906904486024523,107.62404318941124,Sangat Dekat (<200m),0,472.7,1,168.3,19,85.9,31,38.9,9,128.8,0,628.3,0.955375,0.0,0.3333333333333333,0.76,0.6595744680851063,0.6428571428571429,0.0,0.3992941573792637,0.6773
10101152064_5369325245_STOP665,1,38.8,38.8,38.8,Simpang Brantas Cihapit 1,Jalan Cihapit,tertiary,-6.906472300000003,107.6245656,Sangat Dekat (<200m),0,523.1,1,207.0,17,63.7,25,113.6,7,186.2,0,703.7,0.9515,0.0,0.3333333333333333,0.68,0.5319148936170213,0.5,0.0,0.34087470449172574,0.6462
10101152065_10101152064_STOP154,1,87.6,87.6,87.6,Ditjen Bina Konstruksi Kementerian PU,Jalan Cihapit,tertiary,-6.907224384248807,107.6236544372742,Sangat Dekat (<200m),0,440.2,1,158.0,20,35.0,32,20.3,9,102.9,0,572.3,0.8905000000000001,0.0,0.3333333333333333,0.8,0.6808510638297872,0.6428571428571429,0.0,0.40950692333671057,0.65
10101152065_10101152064_STOP664,1,58.8,58.8,58.8,Pasar Cihapit 1,Jalan Cihapit,tertiary,-6.907514299999994,107.6233077,Sangat Dekat (<200m),0,414.9,1,164.8,22,32.7,35,39.3,9,102.3,0,522.0,0.9265,0.0,0.3333333333333333,0.88,0.7446808510638298,0.6428571428571429,0.0,0.4334785545423843,0.68
10101152065_10101152064_STOP665,1,9.3,9.3,9.3,Simpang Brantas Cihapit 1,Jalan Cihapit,tertiary,-6.90664931147474,107.62435195617796,Sangat Dekat (<200m),0,501.7,1,188.5,18,85.5,31,82.9,8,160.9,0,672.8,0.988375,0.0,0.3333333333333333,0.72,0.6595744680851063,0.5714285714285714,0.0,0.38072272880783514,0.6845
10101152065_10101152064_STOP692,1,40.2,40.2,40.2,Simpang Brantas Cihapit 2,Jalan Cihapit,tertiary,-6.906937479979181,107.62400371907826,Sangat Dekat (<200m),0,469.2,1,166.4,19,80.4,31,33.3,9,125.3,0,622.6,0.94975,0.0,0.3333333333333333,0.76,0.6595744680851063,0.6428571428571429,0.0,0.3992941573792637,0.6745
10101152065_1849525943_STOP41,2,29.15,9.4,48.9,Riau Cihapit,Jalan L.L. RE. Martadinata,secondary,-6.908014627116639,107.6237629614608,Sangat Dekat (<200m),1,351.4,1,93.6,18,100.0,30,18.6,8,31.9,0,534.4,0.9635625,0.3333333333333333,0.3333333333333333,0.72,0.6382978723404256,0.5714285714285714,0.0,0.4327321850726105,0.6981
10101152065_1849525943_STOP510,1,10.4,10.4,10.4,bjb Riau,Jalan L.L. RE. Martadinata,secondary,-6.909332593721546,107.62530950714876,Sangat Dekat (<200m),1,241.5,2,140.4,14,42.4,32,28.5,7,49.8,0,561.2,0.987,0.3333333333333333,0.6666666666666666,0.56,0.6808510638297872,0.5,0.0,0.4568085106382979,0.7219
10101152065_1849525943_STOP560,2,26.3,7.4,45.2,HKBP Riau,Jalan L.L. RE. Martadinata,secondary,-6.908590298787511,107.6244584420258,Sangat Dekat (<200m),1,287.4,2,30.2,15,47.4,25,29.2,7,50.2,0,579.0,0.967125,0.3333333333333333,0.6666666666666666,0.6,0.5319148936170213,0.5,0.0,0.43865248226950354,0.7029
10101152065_1849525943_STOP561,2,26.15,18.8,33.5,Riau Aceh,Jalan L.L. RE. Martadinata,secondary,-6.909807376087876,107.62579343267618,Sangat Dekat (<200m),1,238.4,3,122.1,11,112.0,32,28.9,7,32.2,0,555.0,0.9673125,0.3333333333333333,1.0,0.44,0.6808510638297872,0.5,0.0,0.49236406619385337,0.7298
10101152065_1849525943_STOP566,1,9.3,9.3,9.3,Riau Serayu,Jalan L.L. RE. Martadinata,secondary,-6.909022986498886,107.62498024921042,Sangat Dekat (<200m),1,255.2,2,91.1,16,27.7,32,46.3,6,98.7,0,569.8,0.988375,0.3333333333333333,0.6666666666666666,0.64,0.6808510638297872,0.42857142857142855,0.0,0.4582370820668693,0.7233
10101152065_1849525943_STOP664,1,58.8,58.8,58.8,Pasar Cihapit 1,Jalan L.L. RE. Martadinata,secondary,-6.907514299999994,107.6233077,Sangat Dekat (<200m),0,414.9,1,164.8,22,32.7,35,39.3,9,102.3,0,522.0,0.9265,0.0,0.3333333333333333,0.88,0.7446808510638298,0.6428571428571429,0.0,0.4334785545423843,0.68
10101152065_2520790639_STOP663,2,27.75,3.1,52.4,Polsek Bandung Wetan 1,Jalan Cihapit,tertiary,-6.908730117455993,107.62134658372186,Sangat Dekat (<200m),0,410.2,1,358.4,20,21.5,36,124.2,13,47.1,2,267.1,0.9653125,0.0,0.3333333333333333,0.8,0.7659574468085106,0.9285714285714286,1.0,0.6379770347855455,0.8016
