name,lat,lon
Terminal Elang,-6.9133505,107.5756825
Rumah Sakit Santo Borromeus B,-6.8948767,107.613435
Banceuy,-6.9187567,107.6065579
Sukagalih,-6.8922883,107.5903565
Perumnas Cijerah,-6.9298,107.5589046
Terminal Angkot Buah Batu-GBA,-6.9544022,107.6402849
UIN SGD/Cipadung,-6.9323756,107.7157532
Alun-alun Bandung,-6.9212854,107.607149
KPAD,-6.8679567,107.5862145
,-6.8916476,107.6026994
Rumah Sakit Santo Borromeus A,-6.8944686,107.6129282
Pussenif,-6.9079995,107.6306984
Seberang Kantor Kelurahan Arjuna,-6.9085147,107.5918925
Taman Lalu Lintas Kota Bandung,-6.9124464,107.613865
Stasiun Cimindi,-6.8962764,107.5605207
Mall d'Botanica,-6.8925026,107.5849629
Depan Terminal Cicaheum,-6.9022659,107.6568021
Pasar Sederhana,-6.8907401,107.5995862
Pangkalan Angkot Cimindi,-6.8953708,107.5602144
RSAU dr. Salamun,-6.8635935,107.6049365
Simpang Soetta Kiaracondong,-6.945948,107.6408655
PT INTI B (BKR 5),-6.9374679,107.6067581
Sekolah Ganesha,-6.9391033,107.6062243
Terminal Dago,-6.8670976,107.6212499
Taman Budaya,-6.8682486,107.6204881
SPBU Dago Atas,-6.8686294,107.6206901
SMP Negeri 2 Bandung,-6.9144392,107.6140378
Jalan Jati,-6.9262034,107.6126685
UNPAS Lengkong Besar,-6.9290682,107.613063
SDN 020 Lengkong Besar,-6.9304315,107.6129073
Terminal Abdul Muis/Kebon Kalapa,-6.9276218,107.6058721
Danamon Cikapayang,-6.8995199,107.6128298
Kanayakan,-6.8775126,107.6173539
Dago Pojok,-6.8744812,107.6189415
BTM,-6.9113638,107.6435561
Pegadaian Kiaracondong,-6.9303632,107.6440355
Simpang Samsat Kiaracondong,-6.9449417,107.6427786
Jasa Raharja Jabar,-6.9400293,107.6582421
UNPAD Dipatiukur,-6.892885,107.6180829
Lapangan Gasibu A,-6.901132,107.6199289
PUSDAI A,-6.9010136,107.6241889
Riau Cihapit,-6.9082156,107.6238571
Tugu Tunas Taman Pramuka,-6.9105838,107.6265198
Anggrek,-6.9129624,107.6285986
Simpang Supratman - Ahmad Yani,-6.9131125,107.6347767
DPRD Kota Bandung,-6.9157665,107.6345341
Bandung Creative Hub B,-6.9184662,107.631219
Seberang Stadion Siliwangi,-6.9110001,107.618398
Simpang Pasar Palasari,-6.9304294,107.6225299
Simpang Turangga Martanegara,-6.9344181,107.6336654
Seberang TK Kartika X-2 Jalan Turangga,-6.928207,107.6358621
Muararajeun Baru,-6.906013,107.6304694
Griya Pahlawan,-6.9002914,107.6342946
Seberang Griya Pahlawan,-6.9002864,107.6341557
Taman Makam Pahlawan Cikutra,-6.8928501,107.6356478
Sukasenang Raya 1,-6.8985385,107.6371687
Sukasenang Raya 2,-6.8983854,107.6370948
Sukapada,-6.8999587,107.6439455
Terminal Cicaheum,-6.9023065,107.6566046
Masjid An Nur PT INTI,-6.9377495,107.6084278
Lauk Emas,-6.9301524,107.616466
PMI Kota Bandung,-6.9089241,107.6195289
STHB,-6.9062374,107.6043014
Pasar Kembang Wastukencana,-6.9048877,107.6072906
Cihampelas Eyckman,-6.8959112,107.6040037
RS Advent,-6.8916549,107.6025685
Gandok,-6.8835718,107.6056867
Sukawangi,-6.8780721,107.596174
Simpang Gegerkalong Hilir,-6.8693777,107.5936354
Museum Pendidikan Nasional UPI,-6.8600465,107.5946739
Gelap Nyawang,-6.8943964,107.6085894
Pelesiran,-6.8970569,107.6095652
Balubur Town Square,-6.8987075,107.6092842
Ciliwung,-6.9040712,107.6281786
Muararajeun,-6.9039581,107.6283242
Lapangan Gasibu B,-6.9013276,107.6201481
PUSDAI B,-6.9012082,107.6241716
Istana Plaza,-6.9050239,107.5974769
Depan Istana Plaza,-6.9054463,107.59766
Dapen Telkom,-6.899801,107.6285878
Garunggang Kulon,-6.8989255,107.5972577
Djunjunan Paskal,-6.9004402,107.5968182
IWU,-6.9015756,107.5973584
Seberang IWU,-6.9013063,107.5975125
Husein Pajajaran,-6.9069438,107.5881929
Paskal RSHS,-6.8982418,107.5974486
Stasiun Ciroyom,-6.9141618,107.5890996
Borma Antapani,-6.9128635,107.6494872
GOR Padjajaran,-6.9069123,107.6018432
Jaya Plaza,-6.9173661,107.6268117
Terminal Antapani,-6.9152054,107.665817
Terminal Sadang Serang,-6.8912725,107.6249697
Junction 8 Sukajadi,-6.8839703,107.5967067
Borma Pasirimpun,-6.9046867,107.6759239
Gerbang Pusjatan,-6.9071785,107.6856668
SDN Andir Kidul,-6.913719,107.6955416
SDN Cikadut,-6.9039605,107.6656608
Cikudapateuh,-6.9187119,107.6245892
Pangkalan Angkot Panghegar,-6.9237767,107.6835637
Pasar Kosambi,-6.9198411,107.6221462
Lapas Sukamiskin,-6.9046706,107.6749963
Terminal Ujungberung,-6.9140518,107.7027758
Lapangan Seni Rupa,-6.8931418,107.610915
Unisba,-6.90457,107.6080404
Pasar Induk Gedebage,-6.9364203,107.6972651
UIN SGD/Cipadung,-6.9323418,107.7158048
Terminal Elang Damri,-6.9145242,107.5753528
Perumnas Cijerah,-6.9298246,107.5589175
Puskesmas Kopo,-6.9463291,107.589276
Karanganyar,-6.9226452,107.5985172
Pasar Astana Anyar,-6.9307099,107.6012379
Pasar Astana Anyar,-6.9306827,107.601334
Yayasan LPPN,-6.9156895,107.5853882
Paskal 23,-6.9155756,107.5980816
Simpang Derwati,-6.9667117,107.6866808
SMP Negeri 51 Bandung,-6.9644956,107.6798153
Pandanwangi,-6.9554886,107.6518404
Ciwastra Pluto Raya,-6.9597306,107.6615272
Simpang Kordon Buah Batu,-6.954353,107.6393855
PT LEN Industri A,-6.949139,107.6190269
Pasirluyu Selatan/Sukaati,-6.9493037,107.6213691
Leuwipanjang Soekarno Hatta,-6.946792,107.5934452
STIE Inaba,-6.9494319,107.6228417
Taman Westhoff,-6.9010407,107.5981847
Simpang Dakota,-6.8935277,107.5725593
BPJS Pasteur,-6.8921945,107.5829083
Sukagalih PVJ,-6.8913252,107.5968917
Maranatha,-6.8857326,107.5813271
Simpang Sarimanah Sariasih,-6.8763753,107.5782658
Pasar Cibogo Sarijadi,-6.8826172,107.5751341
Terminal Bumi Asri,-6.9325142,107.5508136
BKR Buah Batu,-6.9363191,107.6232892
Cipagalo,-6.965731,107.63796
Seberang ISBI Bandung,-6.9426484,107.6282551
UNPAR,-6.8753453,107.604545
SD Negeri 005 Babakan Ciparay,-6.9490743,107.587264
Paledang,-6.9058033,107.566368
Pasar Baru,-6.9164456,107.6045276
Simpang Buah Batu BKR,-6.9374405,107.6222837
Jalan Haji Tatang Sumantri,-6.9546803,107.6114323
Dipatiukur,-6.8923042,107.6178302
Bulog Gedebage,-6.9402847,107.6921548
Kawaluyaan,-6.9389469,107.6635447
Dinas Pendidikan Kota Bandung,-6.9164091,107.6286916
Monumen 0 KM Kota Bandung,-6.9216731,107.6110208
Seberang Terminal Cicaheum,-6.9020762,107.6567951
Surapati Core,-6.9018313,107.6525389
Stadion Persib Sidolig,-6.9163321,107.6291928
RS Al Islam,-6.9388706,107.6693348
Makmur,-6.8941076,107.5990044
Setiabudi Hegarmanah,-6.8829191,107.6023677
Seberang  Museum Geologi,-6.9012818,107.6211108
SPBU Ibrahim Adjie,-6.9429006,107.6421592
Stasiun Hall,-6.9160396,107.602443
Ditjen Bina Konstruksi Kementerian PU,-6.9069055,107.622935
Banda Saparua,-6.9072421,107.61695
Riau Junction,-6.9069916,107.6116846
SDN Babakan Tarogong,-6.9384699,107.5940999
Festival Citylink,-6.9291833,107.5871614
Gasibu,-6.8992242,107.6179718
Panatayudha B,-6.8979463,107.6161299
Rumah Sakit Santo Borromeus,-6.8942995,107.613073
Masjid Baiturrahman,-6.8866077,107.6150134
Cikapayang Dago 2,-6.8988066,107.6135041
Babakan Siliwangi,-6.8851544,107.6115122
SMAN 1 Bandung,-6.8954684,107.612791
Sabuga ITB,-6.8877112,107.6092292
Tamansari ITB,-6.8898031,107.6081075
Tamansari (Bonbin),-6.8933358,107.6083233
Cikapayang Dago 1,-6.8990682,107.612053
SDN 065 Cihampelas,-6.8870174,107.6041117
Distan Jabar,-6.8991317,107.6225183
Pet Park,-6.9048721,107.6264722
SMK Negeri 1 Bandung,-6.913012,107.6089856
SDN 062 Ciujung Bandung (Lapangan Supratman B),-6.9072435,107.6296905
SMPN 14 Bandung (Lapangan Supratman A),-6.9081075,107.630157
Abdurachman Saleh,-6.9075137,107.583161
Supratman 1,-6.9102039,107.6321664
Panatayudha A,-6.8979268,107.6162121
Jalan Budi,-6.8921787,107.5580608
SMAN 13 Bandung A,-6.9033251,107.5648355
Rajawali Barat,-6.9108914,107.5701692
Plaza Telkom Rajawali,-6.9129112,107.5754041
Hotel Horison A,-6.9343466,107.6253125
Hotel Horison B,-6.9342818,107.6251519
Simpang By Pass Soekarno Hatta B,-6.9483976,107.6087474
SPBU Moh. Toha,-6.9546052,107.6115668
SPBU Ahmad Yani,-6.9129503,107.6339249
Kantor Pos Banceuy,-6.9205635,107.6064724
Kartikasari A,-6.8975222,107.6127527
Bandung Indah Plaza,-6.9088987,107.6107066
Merdeka,-6.9127381,107.6105131
Bank Indonesia,-6.9145476,107.6090706
Perintis Kemerdekaan,-6.9139566,107.6078989
Stasiun Timur,-6.9153549,107.6044803
Riau XL,-6.9067978,107.6096233
Linggawastu,-6.9039636,107.6053609
ITC Kebon Kalapa,-6.926731,107.6059089
Karasak Lama,-6.9479444,107.6021925
Seberang SMAN 4 Bandung,-6.919464,107.5982644
SMK Medikacom,-6.9437949,107.6464771
STT Mandala,-6.9446125,107.6438752
Sekejati,-6.9397909,107.642373
Kebon Kangkung 11,-6.9380524,107.6424665
Seberang UIN Sunan Gunung Djati,-6.9325104,107.715754
Borma Cipadung,-6.9265413,107.7108139
Gang H.M. Syarief,-6.9043787,107.6718944
Sulaksana,-6.9050201,107.6501141
