place_id,name,lat,lon,rating,total_reviews,category,types,nearest_stop,stop_lat,stop_lon
ChIJuQpPdArmaC4RH7bU5_22esA,Witel Bandung Barat (Plaza Telkom Rajawali),-6.912773,107.5756051,4.3,712,lainnya,"establishment,point_of_interest",Terminal Elang,-6.9133505,107.5756825
ChIJOT6yDArmaC4RI7r0eMceD_s,SPBU Pertamina 34-40126,-6.912915799999999,107.5746204,4.3,649,lainnya,"establishment,gas_station,point_of_interest",Terminal Elang,-6.9133505,107.5756825
ChIJtQVG_QvmaC4RJgTJ2o0jdiM,Masjid Garuda,-6.913314499999999,107.5769978,4.7,322,lainnya,"establishment,mosque,place_of_worship,point_of_interest",Terminal Elang,-6.9133505,107.5756825
ChIJwxr-uAvmaC4RHpw3UZX1OSk,Toserba Ling Chick,-6.912840699999999,107.5779364,4.1,105,katering,"establishment,food,grocery_or_supermarket,point_of_interest,store",Terminal Elang,-6.9133505,107.5756825
ChIJo87geQnmaC4RV1EUkDvLoCI,Splash Kitchen,-6.9147509,107.5775291,4.3,55,katering,"cafe,establishment,food,point_of_interest,restaurant",Terminal Elang,-6.9133505,107.5756825
ChIJSYLPm1HmaC4RYoCiu8EeYtM,Namin Hotel - Bandung,-6.8950833,107.6144706,4.2,1362,lainnya,"establishment,lodging,point_of_interest",Rumah Sakit Santo Borromeus B,-6.8948767,107.613435
ChIJ_QTi6ScUby4Rx-_lXUrk8bM,Palais Dago Hotel,-6.896286099999999,107.6131094,4.5,1008,lainnya,"establishment,lodging,point_of_interest",Rumah Sakit Santo Borromeus B,-6.8948767,107.613435
ChIJZX_HvVHmaC4RHIWTD0hKQds,Rebel Gym,-6.896555999999999,107.6142787,4.4,272,olahraga,"establishment,gym,health,point_of_interest",Rumah Sakit Santo Borromeus B,-6.8948767,107.613435
ChIJ_zL7QFHmaC4R5LxO0ByevTA,JPKM Surya Sumirat - Borromeus Healthcare,-6.894053,107.6127542,4.9,66,kesehatan,"establishment,health,hospital,local_government_office,point_of_interest",Rumah Sakit Santo Borromeus B,-6.8948767,107.613435
ChIJC-a9BVHmaC4RgHHI-pM1l38,Borromeus Children Medical Center,-6.8939501,107.6133649,3.8,63,kesehatan,"establishment,health,hospital,point_of_interest",Rumah Sakit Santo Borromeus B,-6.8948767,107.613435
ChIJCSYyqzrmaC4R_bQ3y9Njhps,favehotel Braga Bandung,-6.917141300000001,107.6084439,0.0,0,lainnya,"establishment,lodging,point_of_interest",Banceuy,-6.9187567,107.6065579
ChIJE_kFiiTmaC4Rihw033ipuFk,Golden Flower Hotel,-6.9204187,107.6048758,4.3,7265,lainnya,"establishment,lodging,point_of_interest",Banceuy,-6.9187567,107.6065579
ChIJCSYyqzrmaC4Rv87O_Sb1-sg,Gino Feruci Braga Hotel,-6.9178153,107.6090632,4.3,6292,lainnya,"establishment,lodging,point_of_interest",Banceuy,-6.9187567,107.6065579
ChIJ_cRr2STmaC4R0KLHkfKoW2U,Toko Aneka Benang,-6.9189171,107.6064383,4.4,672,komersial,"establishment,home_goods_store,point_of_interest,store",Banceuy,-6.9187567,107.6065579
ChIJMTlX1CTmaC4RlVmrq_5Xgu4,PADASUKA MOTOR,-6.916865100000001,107.6063616,4.4,285,lainnya,"establishment,point_of_interest",Banceuy,-6.9187567,107.6065579
ChIJQci5BWPmaC4R18vlU_RWy8w,PT Tridaya Sinergi Indonesia,-6.8911862,107.5885162,4.7,263,komersial,"establishment,point_of_interest,store",Sukagalih,-6.8922883,107.5903565
ChIJY6VSB2PmaC4RcQ6BFEm91xc,OYO 3805 Ceria House Sultan Premier,-6.8900036,107.5890014,4.4,205,lainnya,"establishment,lodging,point_of_interest",Sukagalih,-6.8922883,107.5903565
ChIJY9GtLp7oaC4R1i9l4zdw8_Q,Autovision Bandung - Official Showroom & Service Center,-6.890128900000001,107.5898572,4.7,203,komersial,"establishment,point_of_interest,store",Sukagalih,-6.8922883,107.5903565
ChIJ0UnPP17maC4RzcPxq4S8LnU,Elastico7 Indonesia,-6.893040999999999,107.588267,4.6,131,komersial,"clothing_store,establishment,point_of_interest,store",Sukagalih,-6.8922883,107.5903565
ChIJJQAAQIjmaC4RMcTb94mk44E,Kantorpos DC Bandung Cipedes,-6.894092,107.5900482,3.0,66,finansial,"establishment,finance,point_of_interest,post_office",Sukagalih,-6.8922883,107.5903565
ChIJHQQ5nljvaC4RnynUvhr0XWc,Indomaret gempolsari,-6.930185799999999,107.5581142,3.8,103,finansial,"atm,convenience_store,establishment,finance,food",Perumnas Cijerah,-6.9298,107.5589046
ChIJi1VsIPblaC4R2N_4BbdWqFE,Alfamart Gempol Sari,-6.929864599999999,107.5580809,3.4,31,komersial,"convenience_store,establishment,food,grocery_or_supermarket,point_of_interest",Perumnas Cijerah,-6.9298,107.5589046
ChIJoeotKfblaC4Rh1UNB2ziXys,Karya Abadi Agen BRI Link,-6.9298486,107.5588896,4.7,14,komersial,"establishment,point_of_interest,store",Perumnas Cijerah,-6.9298,107.5589046
ChIJ31ySHQDlaC4RdLJ1PZe179Y,Ope laundry,-6.9297407,107.5588353,3.4,14,lainnya,"establishment,laundry,point_of_interest",Perumnas Cijerah,-6.9298,107.5589046
ChIJwadHo1jvaC4RRO4WMfWOcoI,Warung Nasi Ibu Yati,-6.9310139,107.5572825,4.2,5,katering,"establishment,food,point_of_interest,restaurant",Perumnas Cijerah,-6.9298,107.5589046
ChIJx3dWG0foaC4Rh3DtG9KY_Zg,Annisa Salon Muslimah - Margacinta,-6.9546429,107.6426015,4.6,174,lainnya,"beauty_salon,establishment,point_of_interest",Terminal Angkot Buah Batu-GBA,-6.9544022,107.6402849
ChIJoyInh0boaC4RvcuZcQMpS3k,Lapangan Voli COSA (Cordon Sport and Art),-6.955248099999999,107.6397229,4.2,67,lainnya,"establishment,point_of_interest",Terminal Angkot Buah Batu-GBA,-6.9544022,107.6402849
ChIJcadk60boaC4RinAN8g-zlrQ,Apotek Sulistia Farma,-6.954322899999999,107.640886,4.5,62,kesehatan,"establishment,health,pharmacy,point_of_interest,store",Terminal Angkot Buah Batu-GBA,-6.9544022,107.6402849
ChIJE27J_0XoaC4RauEPpttF0To,Pegadaian Pasar Kordon,-6.9550239,107.6389648,4.5,56,finansial,"establishment,finance,point_of_interest,store",Terminal Angkot Buah Batu-GBA,-6.9544022,107.6402849
ChIJm3oDtEboaC4RGtrfTJYJnQM,Licko Music Studio,-6.953139,107.64036,4.4,48,komersial,"establishment,point_of_interest,store",Terminal Angkot Buah Batu-GBA,-6.9544022,107.6402849
ChIJ2z-EIdbCaC4RMH1P-sANqCk,Pondok Pesantren Salafi AR-RAAID,-6.930724499999999,107.715882,5.0,454,lainnya,"establishment,point_of_interest",UIN SGD/Cipadung,-6.9323756,107.7157532
ChIJDfdSAyjDaC4RF83rUqCqs20,Ayam Penyet Esti,-6.933805,107.716582,4.4,236,katering,"establishment,food,point_of_interest,restaurant",UIN SGD/Cipadung,-6.9323756,107.7157532
ChIJdUnTMtbCaC4RO8EVGZg7lUA,Indomaret Cipadung F2TX,-6.9319394,107.7153443,3.9,110,komersial,"convenience_store,establishment,food,grocery_or_supermarket,point_of_interest",UIN SGD/Cipadung,-6.9323756,107.7157532
ChIJyWRNwCrDaC4Rdts53ImuAAs,Barokah Rental Mobil & Motor,-6.9322651,107.716645,4.3,91,lainnya,"car_rental,establishment,point_of_interest",UIN SGD/Cipadung,-6.9323756,107.7157532
ChIJBW1xztfCaC4RrCXM4D_jsH4,bank bjb KCP A.H Nasution,-6.932293800000001,107.7153365,4.3,83,finansial,"atm,bank,establishment,finance,point_of_interest",UIN SGD/Cipadung,-6.9323756,107.7157532
ChIJMcIOvp3oaC4RZdAMyaoSdBc,Alun-alun Kota Bandung,-6.921829499999999,107.6070623,4.6,119016,rekreasi,"establishment,park,point_of_interest",Alun-alun Bandung,-6.9212854,107.607149
ChIJ1RIjvSXmaC4Rn7u8rwSSLPw,Masjid Raya Bandung,-6.9216897,107.6061399,4.6,9334,lainnya,"establishment,mosque,place_of_worship,point_of_interest",Alun-alun Bandung,-6.9212854,107.607149
ChIJiVKXLyTmaC4RL-Y9rO4-YGs,Plaza Parahyangan,-6.922484,107.6059834,4.3,6117,komersial,"establishment,point_of_interest,shopping_mall",Alun-alun Bandung,-6.9212854,107.607149
ChIJcX25ZiTmaC4R_ASeA8NBtn4,Zodiak Asia Afrika Hotel Bandung,-6.9211306,107.6048997,4.2,2664,lainnya,"establishment,lodging,point_of_interest",Alun-alun Bandung,-6.9212854,107.607149
ChIJNfP39pfmaC4RJejKUSvAOfo,KPAD Gegerkalong,-6.867284199999999,107.5879023,4.4,1341,lainnya,"establishment,point_of_interest",KPAD,-6.8679567,107.5862145
ChIJu4vq47zmaC4RzL-hrIqAQW0,Masjid At-Taqwa KPAD,-6.866697599999999,107.5860829,4.8,1029,lainnya,"establishment,mosque,place_of_worship,point_of_interest",KPAD,-6.8679567,107.5862145
ChIJR26El5fmaC4RPtp39aJB0oo,aQualis Laundry & Green Dry Clean - Gegerkalong,-6.8692047,107.5872418,5.0,75,lainnya,"establishment,laundry,point_of_interest",KPAD,-6.8679567,107.5862145
ChIJ8XqsnKLmaC4RuRBnfe1bXbQ,Bass Music Studio,-6.8671976,107.5855305,4.4,64,komersial,"establishment,point_of_interest,store",KPAD,-6.8679567,107.5862145
ChIJZY6lsqLmaC4RpHZYBwt-FB0,TK AT-TAQWA,-6.866530999999999,107.586153,4.8,41,pendidikan,"establishment,point_of_interest,school",KPAD,-6.8679567,107.5862145
ChIJ_8NeYFvmaC4REyTIpA7NnA8,Amaris Hotel Cihampelas,-6.8902366,107.6037406,4.3,4197,lainnya,"establishment,lodging,point_of_interest",,-6.8916476,107.6026994
ChIJb-auU1nmaC4RCyPrneTV6W4,Rumah Sakit Advent Bandung,-6.892076599999999,107.6032797,4.6,3971,kesehatan,"establishment,health,hospital,point_of_interest",,-6.8916476,107.6026994
