road_width_index,sidewalk_ratio,street_canyon_enclosure,green_view_index,sky_view_factor,filename,visual_perception_score,edge_id,point_index,tas_nit_id,street_name
0.3287,0.0156,0.0517,0.1502,0.339,gsv_8123304864_5447158318_14214.jpg,0.308,8123304864_5447158318,14214,8123304864_5447158318_STOP36,Jalan Soekarno-Hatta
0.3337,0.0168,0.1559,0.2683,0.1457,gsv_303034652_35136034_2305.jpg,0.2803,303034652_35136034,2305,303034652_35136034_STOP16,Jalan Abdul Haris Nasution
0.3104,0.0078,0.0905,0.3724,0.0348,gsv_10793008254_5358055095_15212.jpg,0.2894,10793008254_5358055095,15212,10793008254_5358055095_STOP306,Jalan L.L. RE. Martadinata
0.4095,0.0005,0.3251,0.0429,0.1857,gsv_3274608591_30236636_8745.jpg,0.2016,3274608591_30236636,8745,3274608591_30236636_STOP638,Jalan Cikutra
0.3705,0.015,0.0704,0.2942,0.1535,gsv_6469933723_29434775_12744.jpg,0.3061,6469933723_29434775,12744,6469933723_29434775_STOP797,Jalan Lodaya
0.1365,0.0028,0.165,0.4035,0.0027,gsv_1849525794_11107827260_4106.jpg,0.2612,1849525794_11107827260,4106,1849525794_11107827260_STOP713,Jalan Naripan
0.1804,0.1672,0.0849,0.2974,0.155,gsv_2520649200_2520790639_7030.jpg,0.3167,2520649200_2520790639,7030,2520649200_2520790639_STOP695,Jalan Aceh
0.1883,0.0017,0.1577,0.3969,0.1214,gsv_6425545180_3115112874_12500.jpg,0.2949,6425545180_3115112874,12500,6425545180_3115112874_STOP498,Jalan Cigondewah Kaler
0.2807,0.0438,0.119,0.138,0.2778,gsv_5487650882_5353902843_11662.jpg,0.2798,5487650882_5353902843,11662,5487650882_5353902843_STOP198,
0.1408,0.0162,0.5441,0.0,0.2894,gsv_2858054060_665709306_7359.jpg,0.1581,2858054060_665709306,7359,2858054060_665709306_STOP425,"['Jalan Desa Cipadung', 'Jalan Cilengkrang II']"
0.3197,0.0436,0.0,0.1098,0.4254,gsv_7216077742_7216077735_13712.jpg,0.33,7216077742_7216077735,13712,7216077742_7216077735_STOP261,Bulevar Utama
0.1274,0.0134,0.3591,0.0106,0.1734,gsv_13413840424_5489977551_17150.jpg,0.1581,13413840424_5489977551,17150,13413840424_5489977551_STOP198,Jalan Raden Rangga Kencana
0.2954,0.0117,0.001,0.3826,0.1063,gsv_2325451853_25495368_5726.jpg,0.3231,2325451853_25495368,5726,2325451853_25495368_STOP63,Jalan Wastukancana
0.3308,0.0489,0.1169,0.1507,0.2832,gsv_5374108596_1849960655_10831.jpg,0.2913,5374108596_1849960655,10831,5374108596_1849960655_STOP52,Jalan Pahlawan
0.3179,0.0007,0.1002,0.2904,0.2356,gsv_5639373300_2325438077_11777.jpg,0.3129,5639373300_2325438077,11777,5639373300_2325438077_STOP479,Jalan Sukajadi
0.2603,0.034,0.191,0.4018,0.0,gsv_35131598_2634710039_1981.jpg,0.2747,35131598_2634710039,1981,35131598_2634710039_STOP230,Jalan Abdul Haris Nasution
0.3757,0.0539,0.1243,0.3486,0.0443,gsv_12634504454_2325438114_16295.jpg,0.2954,12634504454_2325438114,16295,12634504454_2325438114_STOP67,Jalan Sukajadi
0.3529,0.0147,0.0137,0.4604,0.083,gsv_5841953280_3374033499_11921.jpg,0.345,5841953280_3374033499,11921,5841953280_3374033499_STOP293,Jalan Sumatra
0.2149,0.0002,0.1086,0.414,0.0175,gsv_25773425_5374108596_502.jpg,0.2838,25773425_5374108596,502,25773425_5374108596_STOP346,Jalan Surapati
0.216,0.1478,0.1928,0.031,0.3639,gsv_12813271265_1664487744_16792.jpg,0.2725,12813271265_1664487744,16792,12813271265_1664487744_STOP604,Jalan Cipamokolan
