lat,lon,category
-6.9147418,107.614526,Pendidikan
-6.8964982,107.5899956,Pendidikan
-6.9050969,107.5973817,Pendidikan
-6.8654562,107.6059886,Pendidikan
-6.8752133,107.6050273,Pendidikan
-6.9059498,107.6180692,Pendidikan
-6.9063188,107.6184864,Pendidikan
-6.8965277,107.6122468,Pendidikan
-6.9116663,107.6108713,Pendidikan
-6.8848176,107.6213465,Pendidikan
-6.8903413,107.6265975,Pendidikan
-6.8877225,107.6250855,Pendidikan
-6.8909182,107.6034266,Pendidikan
-6.8907828,107.604046,Pendidikan
-6.8911142,107.6040522,Pendidikan
-6.9268757,107.6086155,Pendidikan
-6.9256576,107.6067688,Pendidikan
-6.924269,107.6082668,Pendidikan
-6.8775493,107.6202785,Pendidikan
-6.9011745,107.6016581,Pendidikan
-6.8781282,107.5803356,Pendidikan
-6.9436668,107.6216207,Pendidikan
-6.9109009,107.630962,Pendidikan
-6.9175501,107.6167487,Pendidikan
-6.8803349,107.6163704,Pendidikan
-6.8750686,107.618959,Pendidikan
-6.8732496,107.6193545,Pendidikan
-6.9284661,107.6376778,Pendidikan
-6.9432575,107.6435013,Pendidikan
-6.9399699,107.6599319,Pendidikan
-6.9279317,107.6413069,Pendidikan
-6.898599,107.6396155,Pendidikan
-6.9268784,107.6266338,Pendidikan
-6.8987637,107.6107894,Pendidikan
-6.9395748,107.5646672,Pendidikan
-6.9112541,107.5782431,Pendidikan
-6.9127345,107.577271,Pendidikan
-6.9039023,107.5968438,Pendidikan
-6.9037977,107.596552,Pendidikan
-6.9033651,107.597212,Pendidikan
-6.9122154,107.5956125,Pendidikan
-6.9121876,107.5955681,Pendidikan
-6.9166475,107.5925889,Pendidikan
-6.940396,107.6032825,Pendidikan
-6.9128355,107.611423,Pendidikan
-6.8848369,107.5813111,Pendidikan
-6.8999383,107.6340497,Pendidikan
-6.8969564,107.634667,Pendidikan
-6.8965816,107.6342973,Pendidikan
-6.8962699,107.6342322,Pendidikan
-6.8959753,107.6343196,Pendidikan
-6.8947444,107.6346164,Pendidikan
-6.8935451,107.6370893,Pendidikan
-6.8937561,107.6392515,Pendidikan
-6.8954618,107.6423524,Pendidikan
-6.8962936,107.6435144,Pendidikan
-6.8996345,107.6423333,Pendidikan
-6.9200384,107.597042,Pendidikan
-6.8978831,107.6357174,Pendidikan
-6.8695941,107.5937635,Pendidikan
-6.9065089,107.6045553,Pendidikan
-6.8745529,107.5957186,Pendidikan
-6.9069935,107.6006151,Pendidikan
-6.9062722,107.5997176,Pendidikan
-6.9056777,107.6000707,Pendidikan
-6.9001218,107.5629381,Pendidikan
-6.9038733,107.5993747,Pendidikan
-6.9196755,107.5949399,Pendidikan
-6.9055946,107.5814027,Pendidikan
-6.9233604,107.6149527,Pendidikan
-6.8983266,107.637906,Pendidikan
-6.9348195,107.6083018,Pendidikan
-6.8940161,107.6477005,Pendidikan
-6.9085709,107.6536708,Pendidikan
-6.9096786,107.6498848,Pendidikan
-6.9079478,107.6513788,Pendidikan
-6.9064327,107.650094,Pendidikan
-6.9049297,107.6804344,Pendidikan
-6.8987223,107.5957475,Pendidikan
-6.9048974,107.612126,Pendidikan
-6.9240505,107.6704875,Pendidikan
-6.8609476,107.5865398,Pendidikan
-6.8914976,107.586936,Pendidikan
-6.8847229,107.6172633,Pendidikan
-6.8848024,107.6183326,Pendidikan
-6.8852984,107.6190478,Pendidikan
-6.8969519,107.5848895,Pendidikan
-6.9449285,107.6700785,Pendidikan
-6.8979318,107.6448221,Pendidikan
-6.8997498,107.590899,Pendidikan
-6.9260341,107.5889155,Pendidikan
-6.9152956,107.6548617,Pendidikan
-6.9233601,107.6225303,Pendidikan
-6.9420391,107.6456606,Pendidikan
-6.935951,107.7100708,Pendidikan
-6.9505337,107.6005885,Pendidikan
-6.8931521,107.6192969,Pendidikan
-6.9010231,107.6523622,Pendidikan
-6.920782,107.6164461,Pendidikan
-6.9454317,107.6497883,Pendidikan
-6.9488006,107.6524771,Pendidikan
-6.9084836,107.6462063,Pendidikan
-6.9425114,107.5687129,Pendidikan
-6.9067402,107.6729219,Pendidikan
-6.9111503,107.6241254,Pendidikan
-6.908962,107.6695954,Pendidikan
-6.9363103,107.6602377,Pendidikan
-6.9288073,107.6754078,Pendidikan
-6.9300994,107.6761744,Pendidikan
-6.9252101,107.6060462,Pendidikan
-6.927954,107.6252744,Pendidikan
-6.9153787,107.6287561,Pendidikan
-6.9543416,107.6221702,Pendidikan
-6.9128109,107.6816245,Pendidikan
-6.9577288,107.6571714,Pendidikan
-6.9377953,107.6087898,Pendidikan
-6.9068897,107.5904444,Pendidikan
-6.9061634,107.664689,Pendidikan
-6.9103627,107.6062649,Pendidikan
-6.8916118,107.6480634,Pendidikan
-6.9193759,107.5989295,Pendidikan
-6.913175,107.6085084,Pendidikan
-6.9254581,107.5944389,Pendidikan
-6.9363444,107.6020651,Pendidikan
-6.9093035,107.72292,Pendidikan
-6.9299562,107.6496655,Pendidikan
-6.9212427,107.7154595,Pendidikan
-6.9215628,107.6725278,Pendidikan
-6.9144522,107.6176534,Pendidikan
-6.9258371,107.6082556,Pendidikan
-6.9429091,107.6275856,Pendidikan
-6.9430887,107.6275522,Pendidikan
-6.9433139,107.6273601,Pendidikan
-6.9441605,107.628458,Pendidikan
-6.9173249,107.6549714,Pendidikan
-6.9536674,107.599169,Pendidikan
-6.9605939,107.7020001,Pendidikan
-6.9605739,107.7021651,Pendidikan
-6.8926687,107.5817903,Pendidikan
-6.9181433,107.706637,Pendidikan
-6.918166,107.7066571,Pendidikan
-6.9300898,107.6417201,Pendidikan
-6.9605407,107.7023296,Pendidikan
-6.9523258,107.642227,Pendidikan
-6.9225909,107.5934155,Kesehatan
-6.8643151,107.6048127,Kesehatan
-6.8777867,107.6064864,Kesehatan
-6.8853403,107.6203433,Kesehatan
-6.8759742,107.6185752,Kesehatan
-6.8913271,107.6272402,Kesehatan
-6.8822943,107.581102,Kesehatan
-6.9273603,107.6089534,Kesehatan
-6.9004583,107.5961352,Kesehatan
-6.8835946,107.5941316,Kesehatan
-6.8852642,107.6200766,Kesehatan
-6.9361248,107.6567933,Kesehatan
-6.9293073,107.6004821,Kesehatan
-6.9237429,107.6249886,Kesehatan
-6.9159466,107.6305461,Kesehatan
-6.8905707,107.6164334,Kesehatan
-6.8970637,107.6072151,Kesehatan
-6.8684168,107.6207149,Kesehatan
-6.9243594,107.6259934,Kesehatan
-6.8720655,107.5945806,Kesehatan
-6.9138207,107.6442248,Kesehatan
-6.9083321,107.6245418,Kesehatan
-6.8945081,107.6114806,Kesehatan
-6.8818506,107.5748257,Kesehatan
-6.9123112,107.5780044,Kesehatan
-6.9113899,107.5773781,Kesehatan
-6.9122192,107.5737557,Kesehatan
-6.886821,107.5812491,Kesehatan
-6.9119891,107.6277378,Kesehatan
-6.893772,107.6353587,Kesehatan
-6.8928605,107.6347733,Kesehatan
-6.9061492,107.6042804,Kesehatan
-6.9112406,107.6381888,Kesehatan
-6.9031498,107.6278431,Kesehatan
-6.9038215,107.6209995,Kesehatan
-6.9213387,107.6585757,Kesehatan
-6.9228524,107.5985445,Kesehatan
-6.9339826,107.6425772,Kesehatan
-6.8775282,107.5766801,Kesehatan
-6.8800922,107.5764442,Kesehatan
-6.8922383,107.5910247,Kesehatan
-6.9450171,107.6306917,Kesehatan
-6.8922267,107.5943825,Kesehatan
-6.8773932,107.5911581,Kesehatan
-6.9143253,107.6981071,Kesehatan
-6.9203324,107.7087704,Kesehatan
-6.9201977,107.6140117,Kesehatan
-6.8896755,107.6168415,Kesehatan
-6.8870016,107.6265938,Kesehatan
-6.9200484,107.6123773,Kesehatan
-6.9071357,107.6109369,Kesehatan
-6.9207341,107.7102291,Kesehatan
-6.8848841,107.6191149,Kesehatan
-6.8971463,107.5972062,Kesehatan
-6.8996253,107.597115,Kesehatan
-6.9190074,107.6236005,Kesehatan
-6.8640425,107.6048425,Kesehatan
-6.8959467,107.6199996,Kesehatan
-6.9344453,107.5958611,Kesehatan
-6.8986441,107.6154774,Kesehatan
-6.8972374,107.6345985,Kesehatan
-6.8774598,107.5789097,Kesehatan
-6.8886552,107.6196519,Kesehatan
-6.9470279,107.6763636,Kesehatan
-6.8785955,107.5809916,Kesehatan
-6.9089943,107.6907945,Kesehatan
-6.9198677,107.5971803,Kesehatan
-6.9227492,107.5930739,Kesehatan
-6.8867752,107.6117787,Kesehatan
-6.9048642,107.6775519,Kesehatan
-6.9003623,107.643322,Kesehatan
-6.9032552,107.639416,Kesehatan
-6.9044846,107.618761,Kesehatan
-6.9297937,107.7124259,Kesehatan
-6.9145472,107.6786845,Kesehatan
-6.8811277,107.6038593,Kesehatan
-6.9073115,107.606448,Kesehatan
-6.9029104,107.6271296,Kesehatan
-6.9217294,107.5773663,Kesehatan
-6.9004634,107.6121442,Kesehatan
-6.904255,107.6286558,Kesehatan
-6.8900385,107.6127527,Kesehatan
-6.9553968,107.6981133,Kesehatan
-6.9548477,107.6974641,Kesehatan
-6.9161661,107.598835,Kesehatan
-6.9264455,107.6365435,Kesehatan
-6.9359164,107.6117344,Kesehatan
-6.9284318,107.616431,Kesehatan
-6.9296213,107.6160722,Kesehatan
-6.9145254,107.6177701,Kesehatan
-6.9180787,107.6178988,Kesehatan
-6.9373076,107.60672,Kesehatan
-6.9378814,107.6077299,Kesehatan
-6.8891911,107.5956801,Kesehatan
-6.908207,107.6727198,Kesehatan
-6.9072528,107.6032083,Kesehatan
-6.9271371,107.6060676,Kesehatan
-6.9317401,107.6034705,Kesehatan
-6.9317794,107.6070513,Kesehatan
-6.8932333,107.6059395,Kesehatan
-6.8931747,107.6055694,Kesehatan
-6.939894,107.6467896,Kesehatan
-6.94367,107.6494291,Kesehatan
-6.9088821,107.6088932,Kesehatan
-6.9005782,107.5976838,Kesehatan
-6.9269276,107.6011784,Kesehatan
-6.9406395,107.7144711,Kesehatan
-6.9337892,107.6312163,Kesehatan
-6.8892944,107.6131146,Kesehatan
-6.959098,107.7017071,Kesehatan
-6.954353,107.6089138,Kesehatan
-6.953041,107.6048458,Kesehatan
-6.9045425,107.6105095,Kesehatan
-6.9476953,107.6761704,Kesehatan
-6.941173,107.6253387,Kesehatan
-6.891185,107.600253,Kesehatan
-6.8915623,107.5992521,Kesehatan
-6.9130241,107.6479444,Kesehatan
-6.9129094,107.6517597,Kesehatan
-6.9197415,107.5959369,Kesehatan
-6.9182754,107.5805414,Kesehatan
-6.8879536,107.6243703,Kesehatan
-6.8878695,107.6248068,Kesehatan
-6.8936758,107.609677,Kesehatan
-6.9164532,107.6305696,Kesehatan
-6.9108016,107.6262556,Kesehatan
-6.8851622,107.6172498,Kesehatan
-6.8849114,107.618251,Kesehatan
-6.9224416,107.6061285,Kesehatan
-6.9066037,107.6430319,Kesehatan
-6.8807039,107.5829931,Komersial
-6.8824074,107.6012807,Komersial
-6.8855637,107.6118223,Komersial
-6.8961585,107.6035969,Komersial
-6.9056137,107.6103851,Komersial
-6.9020861,107.6113879,Komersial
-6.8855838,107.5816217,Komersial
-6.8884968,107.5816697,Komersial
-6.8977508,107.6045111,Komersial
-6.9066941,107.6123657,Komersial
-6.9383535,107.6129673,Komersial
-6.9175343,107.6038426,Komersial
-6.9178476,107.6264761,Komersial
-6.9048451,107.6168101,Komersial
-6.9377575,107.6243315,Komersial
-6.8920363,107.6129097,Komersial
-6.8918699,107.6129465,Komersial
-6.8876559,107.6132404,Komersial
-6.8876565,107.6133497,Komersial
-6.8877229,107.6132401,Komersial
-6.9039115,107.6107242,Komersial
-6.9059786,107.6163236,Komersial
-6.8944347,107.6155573,Komersial
-6.8942549,107.6155573,Komersial
-6.8944316,107.6150322,Komersial
-6.8849005,107.6166916,Komersial
-6.8879558,107.6240308,Komersial
-6.891806,107.6312114,Komersial
-6.8882488,107.6251727,Komersial
-6.8910423,107.6271781,Komersial
-6.9550754,107.6627941,Komersial
-6.8718892,107.5945687,Komersial
-6.8828322,107.5752655,Komersial
-6.8829441,107.5748793,Komersial
-6.8728846,107.5951306,Komersial
-6.9064413,107.5905383,Komersial
-6.8943839,107.6053407,Komersial
-6.8938924,107.6053462,Komersial
-6.8938526,107.605255,Komersial
-6.9040204,107.6050652,Komersial
-6.9080375,107.5951157,Komersial
-6.8695561,107.5884129,Komersial
-6.8730313,107.5847705,Komersial
-6.8677719,107.5831477,Komersial
-6.9228238,107.6049446,Komersial
-6.9272591,107.6057187,Komersial
-6.9274135,107.6085833,Komersial
-6.9265894,107.6068854,Komersial
-6.8945758,107.6049918,Komersial
-6.9558066,107.6518651,Komersial
-6.9577205,107.6518169,Komersial
-6.8995892,107.612431,Komersial
-6.9010937,107.6125222,Komersial
-6.9144997,107.6056015,Komersial
-6.8835605,107.5824814,Komersial
-6.9389453,107.6757454,Komersial
-6.9389299,107.674953,Komersial
-6.9070034,107.5996552,Komersial
-6.9211868,107.6191306,Komersial
-6.9236577,107.6232719,Komersial
-6.923892,107.6258683,Komersial
-6.9242192,107.6201322,Komersial
-6.8853779,107.6046252,Komersial
-6.885527,107.6045394,Komersial
-6.8959866,107.5997543,Komersial
-6.8961784,107.5967288,Komersial
-6.9304101,107.6436996,Komersial
-6.8680157,107.6205254,Komersial
-6.9360122,107.6427555,Komersial
-6.930048,107.6259971,Komersial
-6.928083,107.6376378,Komersial
-6.9273002,107.6418972,Komersial
-6.9035393,107.6052614,Komersial
-6.8931747,107.6050973,Komersial
-6.9065242,107.6161383,Komersial
-6.9071801,107.6233065,Komersial
-6.9483717,107.6312011,Komersial
-6.9487072,107.6295376,Komersial
-6.9501769,107.6287436,Komersial
-6.9531376,107.6279497,Komersial
-6.9237708,107.6030741,Komersial
-6.9149472,107.6339027,Komersial
-6.9112658,107.6275886,Komersial
-6.9133667,107.6606808,Komersial
-6.9346233,107.6259242,Komersial
-6.899106,107.6235504,Komersial
-6.9066168,107.6144633,Komersial
-6.9135994,107.6956572,Komersial
-6.9040627,107.664639,Komersial
-6.9049041,107.6777104,Komersial
-6.9017966,107.6530705,Komersial
-6.9039978,107.6665883,Komersial
-6.9050372,107.6811244,Komersial
-6.9103331,107.6896145,Komersial
-6.9319878,107.7152085,Komersial
-6.9194181,107.6309069,Komersial
-6.9246699,107.6286091,Komersial
-6.9226793,107.6212111,Komersial
-6.9223617,107.6296437,Komersial
-6.9138523,107.6341539,Komersial
-6.9201532,107.6170115,Komersial
-6.9188877,107.6098597,Komersial
-6.9035459,107.6154133,Komersial
-6.8787402,107.6167701,Komersial
-6.8799394,107.6164803,Komersial
-6.8776456,107.6174147,Komersial
-6.8850007,107.6139157,Komersial
-6.8777918,107.6171923,Komersial
-6.8804713,107.6163332,Komersial
-6.8849509,107.613931,Komersial
-6.8804199,107.616337,Komersial
-6.8786063,107.6168065,Komersial
-6.8800094,107.6164577,Komersial
-6.8788018,107.6167574,Komersial
-6.8800683,107.6164436,Komersial
-6.877817,107.6171725,Komersial
-6.8833996,107.6147516,Komersial
-6.8830528,107.6149602,Komersial
-6.8849013,107.6139444,Komersial
-6.8778549,107.6171499,Komersial
-6.8844222,107.6136004,Komersial
-6.8830706,107.6149502,Komersial
-6.8757734,107.6182085,Komersial
-6.8845143,107.6140493,Komersial
-6.8845704,107.61403,Komersial
-6.8847931,107.6139745,Komersial
-6.8808685,107.6162191,Komersial
-6.8809561,107.6161977,Komersial
-6.8781807,107.6169292,Komersial
-6.8844573,107.6140657,Komersial
