edge_id,name,highway,lat,lon,nearest_stop_id,nearest_stop_name,distance_to_stop_m,tas_nit_id
25432842_1849525914,Jalan Laksamana Laut Raden Eddy Martadinata,secondary,-6.911049800000003,107.627074,263,Taman Pramuka,66.9,25432842_1849525914_STOP263
25432842_1849907073,Jalan L.L. RE. Martadinata,secondary,-6.911049800000003,107.627074,263,Taman Pramuka,66.9,25432842_1849907073_STOP263
25432842_1849907073,Jalan L.L. RE. Martadinata,secondary,-6.911363142858715,107.62739974005989,649,Jalan Johar,66.4,25432842_1849907073_STOP649
25432842_1849907073,Jalan L.L. RE. Martadinata,secondary,-6.911676395954279,107.62772556661426,649,Jalan Johar,17.2,25432842_1849907073_STOP649
25432842_1849907073,Jalan L.L. RE. Martadinata,secondary,-6.911995245220108,107.6280458830454,649,Jalan Johar,35.5,25432842_1849907073_STOP649
25432842_1849907073,Jalan L.L. RE. Martadinata,secondary,-6.912329606208828,107.62834926483424,43,Anggrek,75.7,25432842_1849907073_STOP43
25432842_1849525943,Jalan L.L. RE. Martadinata,secondary,-6.911049800000003,107.627074,263,Taman Pramuka,66.9,25432842_1849525943_STOP263
25432842_1849525943,Jalan L.L. RE. Martadinata,secondary,-6.910732570962396,107.6267520738834,511,Taman Pramuka,27.2,25432842_1849525943_STOP511
25432842_1849525943,Jalan L.L. RE. Martadinata,secondary,-6.910414640435293,107.62643085079333,42,Tugu Tunas Taman Pramuka,21.3,25432842_1849525943_STOP42
25432842_1849525943,Jalan L.L. RE. Martadinata,secondary,-6.9100989711965095,107.62610744061172,561,Riau Aceh,55.9,25432842_1849525943_STOP561
25432860_2325452126,Jalan Jenderal Ahmad Yani,primary,-6.915748799999999,107.6299627,147,Stadion Persib Sidolig,107.5,25432860_2325452126_STOP147
25432860_3277871561,Jalan L.L. RE. Martadinata,secondary,-6.915748799999999,107.6299627,147,Stadion Persib Sidolig,107.5,25432860_3277871561_STOP147
25432923_11367517448,Jalan Laswi,primary,-6.918578400000004,107.6314478,274,Bandung Creative Hub A,26.9,25432923_11367517448_STOP274
