tas_nit_id,n_points,avg_distance_to_stop,min_distance_to_stop,max_distance_to_stop,nearest_stop_name,street_name,highway_type,center_lat,center_lon,walking_class
10043935231_3448592238_STOP121,4,375.075,299.9,450.3,Leuwipanjang Soekarno Hatta,Jalan Soekarno-Hatta,trunk,-6.947358854440924,107.59676620661506,Dekat (200-400m)
10043935231_3448592238_STOP198,1,481.8,481.8,481.8,Karasak Lama,Jalan Soekarno-Hatta,trunk,-6.9474508540602224,107.59789281484366,Sedang (400-800m)
10043935232_10043935231_STOP121,1,304.4,304.4,304.4,Leuwipanjang Soekarno Hatta,,trunk_link,-6.947532699999992,107.5960773,Dekat (200-400m)
10043935232_10816174967_STOP121,2,279.45,254.5,304.4,Leuwipanjang Soekarno Hatta,Jalan Soekarno-Hatta,trunk,-6.947497234966626,107.59585401403605,Dekat (200-400m)
10101152064_10101152065_STOP154,1,80.8,80.8,80.8,Ditjen Bina Konstruksi Kementerian PU,Jalan Cihapit,tertiary,-6.907335183481348,107.62351954837877,Sangat Dekat (<200m)
10101152064_10101152065_STOP665,1,38.8,38.8,38.8,Simpang Brantas Cihapit 1,Jalan Cihapit,tertiary,-6.906472300000003,107.6245656,Sangat Dekat (<200m)
10101152064_10101152065_STOP692,2,35.699999999999996,12.1,59.3,Simpang Brantas Cihapit 2,Jalan Cihapit,tertiary,-6.906904486024523,107.62404318941124,Sangat Dekat (<200m)
10101152064_5369325245_STOP665,1,38.8,38.8,38.8,Simpang Brantas Cihapit 1,Jalan Cihapit,tertiary,-6.906472300000003,107.6245656,Sangat Dekat (<200m)
10101152065_10101152064_STOP154,1,87.6,87.6,87.6,Ditjen Bina Konstruksi Kementerian PU,Jalan Cihapit,tertiary,-6.907224384248807,107.6236544372742,Sangat Dekat (<200m)
10101152065_10101152064_STOP664,1,58.8,58.8,58.8,Pasar Cihapit 1,Jalan Cihapit,tertiary,-6.907514299999994,107.6233077,Sangat Dekat (<200m)
10101152065_10101152064_STOP665,1,9.3,9.3,9.3,Simpang Brantas Cihapit 1,Jalan Cihapit,tertiary,-6.90664931147474,107.62435195617796,Sangat Dekat (<200m)
10101152065_10101152064_STOP692,1,40.2,40.2,40.2,Simpang Brantas Cihapit 2,Jalan Cihapit,tertiary,-6.906937479979181,107.62400371907826,Sangat Dekat (<200m)
10101152065_1849525943_STOP41,2,29.15,9.4,48.9,Riau Cihapit,Jalan L.L. RE. Martadinata,secondary,-6.908014627116639,107.6237629614608,Sangat Dekat (<200m)
10101152065_1849525943_STOP510,1,10.4,10.4,10.4,bjb Riau,Jalan L.L. RE. Martadinata,secondary,-6.909332593721546,107.62530950714876,Sangat Dekat (<200m)
10101152065_1849525943_STOP560,2,26.3,7.4,45.2,HKBP Riau,Jalan L.L. RE. Martadinata,secondary,-6.9085902987875105,107.6244584420258,Sangat Dekat (<200m)
10101152065_1849525943_STOP561,2,26.15,18.8,33.5,Riau Aceh,Jalan L.L. RE. Martadinata,secondary,-6.909807376087876,107.62579343267618,Sangat Dekat (<200m)
10101152065_1849525943_STOP566,1,9.3,9.3,9.3,Riau Serayu,Jalan L.L. RE. Martadinata,secondary,-6.909022986498886,107.62498024921042,Sangat Dekat (<200m)
10101152065_1849525943_STOP664,1,58.8,58.8,58.8,Pasar Cihapit 1,Jalan L.L. RE. Martadinata,secondary,-6.907514299999994,107.6233077,Sangat Dekat (<200m)
10101152065_2520790639_STOP663,2,27.75,3.1,52.4,Polsek Bandung Wetan 1,Jalan Cihapit,tertiary,-6.908730117455993,107.62134658372186,Sangat Dekat (<200m)
10101152065_2520790639_STOP664,2,34.05,9.3,58.8,Pasar Cihapit 1,Jalan Cihapit,tertiary,-6.90764914395767,107.62312638141009,Sangat Dekat (<200m)
10101152065_2520790639_STOP693,1,40.7,40.7,40.7,Pasar Cihapit 2,Jalan Cihapit,tertiary,-6.908050166644426,107.62257985072848,Sangat Dekat (<200m)
10101152065_2520790639_STOP694,2,46.95,23.2,70.7,Polsek Bandung Wetan 2,Jalan Cihapit,tertiary,-6.908143758329117,107.62193197198854,Sangat Dekat (<200m)
10101152065_6639564151_STOP154,2,27.200000000000003,24.3,30.1,Ditjen Bina Konstruksi Kementerian PU,Jalan L.L. RE. Martadinata,secondary,-6.906986891012478,107.62288250731211,Sangat Dekat (<200m)
10101152065_6639564151_STOP508,1,46.0,46.0,46.0,Pengadilan Negeri Bandung,Jalan L.L. RE. Martadinata,secondary,-6.906533889790846,107.62238294580902,Sangat Dekat (<200m)
10101152065_6639564151_STOP509,2,27.7,3.8,51.6,Seberang Pengadilan Negeri Bandung,Jalan L.L. RE. Martadinata,secondary,-6.906198986604025,107.62179580635026,Sangat Dekat (<200m)
10101152065_6639564151_STOP664,1,58.8,58.8,58.8,Pasar Cihapit 1,Jalan L.L. RE. Martadinata,secondary,-6.907514299999994,107.6233077,Sangat Dekat (<200m)
10125360884_10125360885_STOP108,1,134.2,134.2,134.2,Puskesmas Kopo,,trunk_link,-6.946058799999998,107.5904505,Sangat Dekat (<200m)
10125360884_3272542990_STOP108,2,116.19999999999999,98.2,134.2,Puskesmas Kopo,Jalan Soekarno-Hatta,trunk,-6.945969523169668,107.59024286173965,Sangat Dekat (<200m)
10125360885_11369316680_STOP108,2,169.25,148.7,189.8,Puskesmas Kopo,Jalan Soekarno-Hatta,trunk,-6.945970321770991,107.59074793469685,Sangat Dekat (<200m)
10125360885_11369316680_STOP121,2,38.2,13.3,63.1,Leuwipanjang Soekarno Hatta,Jalan Soekarno-Hatta,trunk,-6.9469043771443735,107.59376745785876,Sangat Dekat (<200m)
10125360885_11369316680_STOP385,5,103.14000000000001,28.2,195.8,Seberang Terminal Leuwipanjang,Jalan Soekarno-Hatta,trunk,-6.946493977309041,107.592240290457,Sangat Dekat (<200m)
10125575435_12135879793_STOP121,1,208.7,208.7,208.7,Leuwipanjang Soekarno Hatta,Jalan Leuwi Panjang,primary,-6.947203700000004,107.5952745,Dekat (200-400m)
10125575435_3272382569_STOP121,1,208.7,208.7,208.7,Leuwipanjang Soekarno Hatta,Jalan Soekarno-Hatta,trunk,-6.947203700000004,107.5952745,Dekat (200-400m)
1013421522_5358212370_STOP239,1,35.4,35.4,35.4,Bandros Alun-alun,Jalan Dalem Kaum,secondary,-6.9225267000000095,107.6075166,Sangat Dekat (<200m)
1013421522_5852700917_STOP239,1,35.4,35.4,35.4,Bandros Alun-alun,"['Jalan Alun-alun Timur', 'Jalan Asia Afrika']",tertiary,-6.9225267000000095,107.6075166,Sangat Dekat (<200m)
1013421522_5852700917_STOP7,1,38.4,38.4,38.4,Alun-alun Bandung,"['Jalan Alun-alun Timur', 'Jalan Asia Afrika']",tertiary,-6.921258428042811,107.60749293286612,Sangat Dekat (<200m)
1013421522_5852700917_STOP788,2,29.5,22.0,37.0,Jalan Alun-alun Timur,"['Jalan Alun-alun Timur', 'Jalan Asia Afrika']",tertiary,-6.921865976506199,107.60761920444679,Sangat Dekat (<200m)
1013431926_7856163871_STOP318,2,61.1,36.3,85.9,Grand Yogya Kepatihan,Jalan Dewi Sartika,secondary,-6.9233123268938295,107.60633073154918,Sangat Dekat (<200m)
1013431926_7990471529_STOP307,3,67.2,19.3,116.0,Toko Mas ABC,Jalan Kepatihan,tertiary,-6.923211513746559,107.60456770093462,Sangat Dekat (<200m)
1013431926_7990471529_STOP318,3,66.2,36.3,101.1,Grand Yogya Kepatihan,Jalan Kepatihan,tertiary,-6.923409259580898,107.60589541322544,Sangat Dekat (<200m)
