tas_nit_id,road_width_index,sidewalk_ratio,street_canyon_enclosure,green_view_index,sky_view_factor,visual_perception_score,n_images,street_name
10043935231_3448592238_STOP198,0.1601,0.0907,0.1155,0.419,0.0441,0.3035,5,Jalan Soekarno-Hatta
10043935232_10043935231_STOP121,0.2929,0.029,0.4795,0.1396,0.0007,0.1552,1,
10043935232_10816174967_STOP121,0.2172,0.0152,0.4432,0.0923,0.0039,0.137,2,Jalan Soekarno-Hatta
10101152064_10101152065_STOP154,0.202,0.0446,0.159,0.4253,0.024,0.2889,4,Jalan Cihapit
10101152064_5369325245_STOP665,0.2423,0.0005,0.0446,0.5312,0.0,0.327,1,Jalan Cihapit
10101152065_10101152064_STOP665,0.207,0.0141,0.0724,0.4235,0.0673,0.3065,4,Jalan Cihapit
10101152065_1849525943_STOP561,0.3151,0.0547,0.058,0.4097,0.0779,0.3261,9,Jalan L.L. RE. Martadinata
10101152065_2520790639_STOP663,0.1921,0.0159,0.1593,0.3305,0.1003,0.2727,7,Jalan Cihapit
10101152065_6639564151_STOP509,0.3026,0.058,0.0763,0.3554,0.1098,0.3145,6,Jalan L.L. RE. Martadinata
10125360884_10125360885_STOP108,0.3352,0.0081,0.4383,0.1435,0.0,0.1624,1,
10125360884_3272542990_STOP108,0.3285,0.0148,0.4307,0.1288,0.0066,0.1615,2,Jalan Soekarno-Hatta
10125360885_11369316680_STOP121,0.1651,0.0384,0.0523,0.5076,0.02,0.3236,9,Jalan Soekarno-Hatta
10125575435_12135879793_STOP121,0.3103,0.1018,0.1155,0.0315,0.3514,0.2814,1,Jalan Leuwi Panjang
10125575435_3272382569_STOP121,0.3103,0.1018,0.1155,0.0315,0.3514,0.2814,1,Jalan Soekarno-Hatta
1013421522_5358212370_STOP239,0.3594,0.0271,0.0261,0.3215,0.1383,0.3185,1,Jalan Dalem Kaum
1013421522_5852700917_STOP7,0.2952,0.0635,0.1162,0.2928,0.104,0.2886,4,"['Jalan Alun-alun Timur', 'Jalan Asia Afrika']"
1013431926_7856163871_STOP318,0.3411,0.0228,0.2692,0.1484,0.104,0.2188,2,Jalan Dewi Sartika
1013431926_7990471529_STOP307,0.2371,0.0453,0.4138,0.1209,0.0459,0.1684,6,Jalan Kepatihan
1013431927_7856163872_STOP318,0.1607,0.1085,0.3597,0.2212,0.0366,0.2093,7,Jalan Kepatihan
1013431927_7990471529_STOP307,0.3194,0.0219,0.3617,0.084,0.1284,0.1894,1,Jalan Otto Iskandardinata
10134513808_10125575435_STOP121,0.331,0.0065,0.1441,0.0191,0.3541,0.257,1,Jalan Soekarno-Hatta
10134513808_3272382565_STOP121,0.331,0.0065,0.1441,0.0191,0.3541,0.257,1,Jalan Leuwi Panjang
10134513809_10134513808_STOP121,0.4148,0.0104,0.1052,0.0457,0.3817,0.2869,1,Jalan Raya Cibaduyut
10134513809_10816174969_STOP121,0.4148,0.0104,0.1052,0.0457,0.3817,0.2869,1,Jalan Soekarno-Hatta
1014721714_1014722257_STOP593,0.1526,0.0235,0.341,0.1932,0.1313,0.2096,7,Jalan Pelindung Hewan
1014721714_5353902941_STOP22,0.2518,0.0054,0.1372,0.2869,0.1514,0.2796,4,
1014722257_3110265322_STOP310,0.2937,0.0339,0.0776,0.3394,0.1253,0.3077,8,Jalan Mohammad Toha
1014722257_5348770323_STOP227,0.291,0.035,0.0569,0.3648,0.1353,0.3208,6,Jalan Mohammad Toha
1014722265_11380591251_STOP30,0.1898,0.0713,0.4224,0.1166,0.0703,0.1724,3,Jalan Pungkur
1014722265_1831360476_STOP29,0.2893,0.0293,0.2604,0.2121,0.1022,0.2349,16,Jalan Pungkur
1014722585_1014722265_STOP30,0.3626,0.0303,0.0809,0.3562,0.1005,0.3122,10,Jalan Mohammad Toha
1014722585_29489136_STOP269,0.1914,0.0291,0.2531,0.2706,0.1036,0.2441,3,Jalan Ibu Inggit Ganarsih
1014722585_29489138_STOP29,0.22,0.0622,0.193,0.3449,0.068,0.276,11,Jalan Ibu Inggit Ganarsih
1014722585_5355897677_STOP258,0.3507,0.0244,0.0408,0.4466,0.0575,0.3322,12,Jalan Mohammad Toha
1014722675_1014721714_STOP22,0.1405,0.0171,0.2335,0.3008,0.1789,0.2674,5,Jalan Pelindung Hewan
1014722675_11953687707_STOP607,0.263,0.0276,0.0626,0.4184,0.0661,0.3144,2,Jalan Inhoftank
1014722675_5353902941_STOP22,0.2104,0.0514,0.236,0.1915,0.1726,0.2465,7,Jalan Inhoftank
10151612728_10151612729_STOP265,0.2262,0.0689,0.0567,0.2247,0.2647,0.3115,1,
10151612728_12692455340_STOP265,0.2476,0.038,0.0296,0.3876,0.1481,0.3312,2,Jalan Ir. H. Djuanda
10151612729_10151612728_STOP265,0.2464,0.0503,0.28,0.0702,0.1858,0.2102,1,
10151612729_1662376718_STOP591,0.2832,0.0566,0.095,0.4005,0.0802,0.3156,4,Jalan Ir. H. Djuanda
10154700107_7715327378_STOP633,0.2439,0.039,0.1,0.2664,0.2113,0.2999,5,Jalan Supratman
10154700114_10154700107_STOP44,0.0613,0.0004,0.0253,0.7234,0.0,0.3694,1,
10154700114_2520649220_STOP44,0.0615,0.0004,0.0254,0.7305,0.0,0.3716,1,Jalan Supratman
10158095824_7179028074_STOP658,0.3588,0.0169,0.2312,0.1059,0.2417,0.2468,1,Jalan Sunda
10166777277_10166777280_STOP139,0.0965,0.0049,0.1733,0.4483,0.0,0.2691,1,Jalan Haji Tatang Sumantri
10166777277_6428110632_STOP139,0.0965,0.0049,0.1733,0.4483,0.0,0.2691,1,Jalan Haji Tatang Sumantri
10166777280_10166777277_STOP139,0.1561,0.0366,0.1035,0.417,0.0,0.2825,1,Jalan Haji Tatang Sumantri
10166777280_5353902321_STOP139,0.2022,0.0487,0.2342,0.2015,0.1261,0.2368,4,Jalan Haji Tatang Sumantri
10167417684_8418013666_STOP253,0.3545,0.0026,0.013,0.441,0.0604,0.3314,1,Jalan Layang Laswi - Pelajar Pejuang 45
10167417684_9832971267_STOP435,0.3038,0.0043,0.0989,0.1306,0.334,0.2891,8,Jalan Layang Laswi - Pelajar Pejuang 45
10171739080_3269421803_STOP284,0.2446,0.0563,0.0645,0.4431,0.0192,0.3138,5,Jalan Taman Cibeunying Utara
10171739085_10171739080_STOP665,0.0544,0.1517,0.0335,0.5776,0.0,0.354,1,
10171739085_6461589822_STOP665,0.0544,0.1517,0.0335,0.5776,0.0,0.354,1,Jalan Ciliwung
10171865526_10171865531_STOP172,0.324,0.0026,0.1072,0.2198,0.218,0.2873,1,
10171865526_3269421786_STOP172,0.324,0.0026,0.1072,0.2198,0.218,0.2873,1,Jalan Cisangkuy
10171865526_7715289717_STOP172,0.324,0.0026,0.1072,0.2198,0.218,0.2873,1,
10171865531_11707030830_STOP73,0.234,0.0666,0.0616,0.4492,0.0608,0.3274,4,Jalan Ciliwung
10171865532_1849907162_STOP174,0.2236,0.0506,0.1488,0.3623,0.0768,0.2881,8,Jalan Cilaki
10171865532_1855697097_STOP172,0.1618,0.0052,0.0151,0.5176,0.0472,0.332,1,Jalan Cilaki
10171865536_10171865532_STOP172,0.3952,0.0106,0.0213,0.4669,0.0377,0.3379,1,
10171865536_3269421789_STOP172,0.3952,0.0106,0.0213,0.4669,0.0377,0.3379,1,Jalan Ciliwung
10173603853_25778195_STOP806,0.2398,0.0081,0.0176,0.5655,0.0107,0.3453,3,Jalan Citarum
10173603857_11382550192_STOP576,0.1812,0.0012,0.0165,0.6174,0.0036,0.352,1,Jalan Taman Citarum
10173603857_1666747518_STOP576,0.2442,0.0126,0.0166,0.508,0.0442,0.3378,2,
10173603859_7715326201_STOP576,0.2522,0.0176,0.0524,0.4562,0.0574,0.322,2,Jalan Ciliwung
10173603863_10173603859_STOP576,0.2296,0.0227,0.0091,0.5758,0.0,0.3489,1,
10173603863_5369368116_STOP576,0.2296,0.0227,0.0091,0.5758,0.0,0.3489,1,Jalan Citarum
10173603868_1666747518_STOP576,0.2049,0.0002,0.0104,0.442,0.103,0.3273,1,
10173603868_5369369333_STOP576,0.2049,0.0002,0.0104,0.442,0.103,0.3273,1,Jalan Ciliwung
10173705729_7211115101_STOP669,0.2586,0.0006,0.1088,0.4939,0.0473,0.3197,1,Jalan Cilamaya
10173705732_6445381505_STOP575,0.2619,0.0191,0.0316,0.4857,0.0547,0.3346,3,Jalan Citarum
10173705736_10173705732_STOP575,0.3044,0.0725,0.0069,0.5187,0.0038,0.3505,1,
10173705736_5832181364_STOP575,0.3044,0.0725,0.0069,0.5187,0.0038,0.3505,1,Jalan Diponegoro
10173705737_2519917288_STOP575,0.3169,0.0792,0.0088,0.5125,0.0,0.35,1,Jalan Diponegoro
10173705737_5293786192_STOP575,0.3169,0.0792,0.0088,0.5125,0.0,0.35,1,Jalan Citarum
10173744438_11564259401_STOP556,0.439,0.0054,0.0093,0.3229,0.1728,0.3337,1,Jalan Bangka
