tas_nit_id,sentiment_score,avg_rating,n_reviews_total,n_places,positive_ratio,negative_ratio,categories,street_name
10043935231_3448592238_STOP121,0.625,2.5,8,2,0.375,0.625,kesehatan;komersial,Jalan Soekarno-Hatta
10043935231_3448592238_STOP198,0.75,3.5,8,3,0.625,0.375,kesehatan;lainnya;komersial,Jalan Soekarno-Hatta
10043935232_10043935231_STOP121,0.65,4,8,3,0.75,0.25,kesehatan;komersial,Jalan Tanpa Nama
10043935232_10816174967_STOP121,0.65,4,8,3,0.75,0.25,kesehatan;komersial,Jalan Soekarno-Hatta
10101152064_10101152065_STOP154,0.875,4.88,8,3,1,0,katering;lainnya,Jalan Cihapit
10101152064_10101152065_STOP665,0.875,4.75,8,3,1,0,katering,Jalan Cihapit
10101152064_10101152065_STOP692,0.85,4.88,8,3,1,0,katering,Jalan Cihapit
10101152064_5369325245_STOP665,0.875,4.75,8,3,1,0,katering,Jalan Cihapit
10101152065_10101152064_STOP154,0.875,4.88,8,3,1,0,katering;lainnya,Jalan Cihapit
10101152065_10101152064_STOP664,0.8125,4.38,8,3,0.875,0,katering;lainnya,Jalan Cihapit
10101152065_10101152064_STOP665,0.85,4.88,8,3,1,0,katering,Jalan Cihapit
10101152065_10101152064_STOP692,0.875,4.88,8,3,1,0,katering;lainnya,Jalan Cihapit
10101152065_1849525943_STOP41,0.9375,5,8,3,1,0,kesehatan;komersial;katering,Jalan L.L. RE. Martadinata
10101152065_1849525943_STOP510,0.8125,4.63,8,3,0.875,0.125,lainnya;kesehatan,Jalan L.L. RE. Martadinata
10101152065_1849525943_STOP560,0.6875,4.63,8,4,0.875,0.125,kesehatan;lainnya,Jalan L.L. RE. Martadinata
10101152065_1849525943_STOP561,0.8125,4.25,8,3,0.75,0.25,lainnya;kesehatan,Jalan L.L. RE. Martadinata
10101152065_1849525943_STOP566,0.8125,4.63,8,3,0.875,0.125,lainnya;kesehatan,Jalan L.L. RE. Martadinata
10101152065_1849525943_STOP664,0.8125,4.38,8,3,0.875,0,katering;lainnya,Jalan L.L. RE. Martadinata
10101152065_2520790639_STOP663,0.8125,4.88,8,3,1,0,komersial;lainnya;kesehatan,Jalan Cihapit
10101152065_2520790639_STOP664,0.8125,4.38,8,3,0.875,0,lainnya;katering;komersial,Jalan Cihapit
10101152065_2520790639_STOP693,0.8125,4.88,8,3,1,0,lainnya;komersial,Jalan Cihapit
10101152065_2520790639_STOP694,0.8125,4.75,8,3,1,0,komersial;lainnya,Jalan Cihapit
10101152065_6639564151_STOP154,0.75,4,8,3,0.75,0.125,lainnya;katering,Jalan L.L. RE. Martadinata
10101152065_6639564151_STOP508,0.75,4,8,3,0.75,0.125,lainnya;katering,Jalan L.L. RE. Martadinata
10101152065_6639564151_STOP509,0.75,3.5,8,3,0.625,0.25,lainnya,Jalan L.L. RE. Martadinata
10101152065_6639564151_STOP664,0.8125,4.38,8,3,0.875,0,katering;lainnya,Jalan L.L. RE. Martadinata
10125360884_10125360885_STOP108,0.5104,3.25,8,2,0.625,0.375,lainnya,Jalan Tanpa Nama
10125360884_3272542990_STOP108,0.5104,3.25,8,2,0.625,0.375,lainnya,Jalan Soekarno-Hatta
10125360885_11369316680_STOP108,0.5521,1.75,8,2,0.25,0.75,lainnya;katering,Jalan Soekarno-Hatta
10125360885_11369316680_STOP121,0.75,3.75,8,2,0.625,0.25,lainnya;finansial,Jalan Soekarno-Hatta
10125360885_11369316680_STOP385,0.75,3.75,8,2,0.625,0.25,finansial;lainnya,Jalan Soekarno-Hatta
10125575435_12135879793_STOP121,0.65,4,8,3,0.75,0.25,kesehatan;komersial,Jalan Leuwi Panjang
10125575435_3272382569_STOP121,0.65,4,8,3,0.75,0.25,kesehatan;komersial,Jalan Soekarno-Hatta
1013421522_5358212370_STOP239,0.6875,5,8,3,1,0,rekreasi;katering;komersial,Jalan Dalem Kaum
1013421522_5852700917_STOP239,0.6875,5,8,3,1,0,rekreasi;katering;komersial,"['Jalan Alun-alun Timur', 'Jalan Asia Afrika']"
1013421522_5852700917_STOP7,0.6,4.38,8,3,0.875,0.125,lainnya;rekreasi,"['Jalan Alun-alun Timur', 'Jalan Asia Afrika']"
1013421522_5852700917_STOP788,0.6,4.38,8,3,0.875,0.125,rekreasi;lainnya,"['Jalan Alun-alun Timur', 'Jalan Asia Afrika']"
1013431926_7856163871_STOP318,0.8125,4.88,8,2,1,0,komersial;katering,Jalan Dewi Sartika
1013431926_7990471529_STOP307,0.6625,3.63,8,3,0.5,0.25,komersial;finansial,Jalan Kepatihan
1013431926_7990471529_STOP318,0.875,4.75,8,3,1,0,komersial;katering,Jalan Kepatihan
1013431927_7856163872_STOP307,0.725,3.88,8,3,0.625,0.25,komersial;finansial,Jalan Kepatihan
1013431927_7856163872_STOP318,0.75,3.75,8,3,0.75,0.25,komersial;katering,Jalan Kepatihan
1013431927_7990471529_STOP307,0.725,3.63,8,3,0.625,0.375,komersial;finansial,Jalan Otto Iskandardinata
10134513808_10125575435_STOP121,0.65,4,8,3,0.75,0.25,kesehatan;komersial,Jalan Soekarno-Hatta
10134513808_3272382565_STOP121,0.65,4,8,3,0.75,0.25,kesehatan;komersial,Jalan Leuwi Panjang
10134513809_10134513808_STOP121,0.65,4,8,3,0.75,0.25,kesehatan;komersial,Jalan Raya Cibaduyut
10134513809_10816174969_STOP121,0.65,4,8,3,0.75,0.25,kesehatan;komersial,Jalan Soekarno-Hatta
1014721714_1014722257_STOP22,0.8333,5,8,4,1,0,kesehatan;komersial;lainnya,Jalan Pelindung Hewan
1014721714_1014722257_STOP593,0.75,5,8,3,1,0,komersial;lainnya,Jalan Pelindung Hewan
1014721714_5353902941_STOP22,0.8125,5,8,4,1,0,komersial;lainnya;kesehatan,Jalan Tanpa Nama
1014722257_3110265322_STOP310,0.875,4.63,8,2,1,0,komersial;lainnya,Jalan Mohammad Toha
1014722257_3110265322_STOP593,0.6875,4.5,8,2,0.875,0.125,kesehatan;komersial,Jalan Mohammad Toha
1014722257_5348770323_STOP22,0.8333,4.88,8,3,1,0,kesehatan;komersial;lainnya,Jalan Mohammad Toha
1014722257_5348770323_STOP227,0.6667,4.5,8,3,0.875,0,lainnya;kesehatan;komersial,Jalan Mohammad Toha
1014722257_5348770323_STOP593,0.9375,4.5,8,2,0.875,0.125,komersial;finansial,Jalan Mohammad Toha
1014722265_11380591251_STOP30,0.8125,3.75,8,2,0.625,0.25,komersial,Jalan Pungkur
1014722265_1831360476_STOP29,0.7083,3.63,8,3,0.625,0.375,komersial;lainnya,Jalan Pungkur
1014722265_1831360476_STOP30,0.75,3.75,8,3,0.625,0.25,lainnya;komersial,Jalan Pungkur
1014722265_1831360476_STOP470,0.8125,4,8,2,0.75,0.25,finansial;lainnya,Jalan Pungkur
1014722585_1014722265_STOP30,0.8125,4.25,8,3,0.75,0.125,komersial,Jalan Mohammad Toha
1014722585_1014722265_STOP369,0.6875,2.38,8,4,0.25,0.625,lainnya;komersial,Jalan Mohammad Toha
1014722585_29489136_STOP269,0.8125,4,8,3,0.75,0.25,komersial;lainnya,Jalan Ibu Inggit Ganarsih
1014722585_29489136_STOP369,0.8125,4,8,3,0.75,0.25,lainnya;komersial,Jalan Ibu Inggit Ganarsih
1014722585_29489138_STOP29,0.7083,3.63,8,3,0.625,0.375,komersial;lainnya,Jalan Ibu Inggit Ganarsih
