tas_nit_id,sentiment_score,avg_rating,n_reviews_total,n_places,positive_ratio,negative_ratio,categories,street_name
10101152064_10101152065_STOP692,0.98,5.0,5,1,1.0,0.0,katering,Jalan Cihapit
10101152065_10101152064_STOP692,0.895,4.8,5,1,1.0,0.0,katering,Jalan Cihapit
10101152065_1849525943_STOP560,0.9,5.0,5,1,1.0,0.0,kesehatan,Jalan L.L. RE. Martadinata
10101152065_1849525943_STOP566,0.92,5.0,5,1,1.0,0.0,kesehatan,Jalan L.L. RE. Martadinata
10101152065_2520790639_STOP693,0.96,5.0,10,2,1.0,0.0,"komersial,lainnya",Jalan Cihapit
10101152065_2520790639_STOP694,0.915,4.8,5,1,1.0,0.0,komersial,Jalan Cihapit
10101152065_6639564151_STOP508,0.715,4.0,5,1,0.8,0.2,lainnya,Jalan L.L. RE. Martadinata
10125360884_10125360885_STOP108,0.3667,2.2,5,1,0.4,0.6,lainnya,
10125360885_11369316680_STOP121,0.675,4.0,10,2,0.7,0.2,"lainnya,pendidikan",Jalan Soekarno-Hatta
10125360885_11369316680_STOP385,0.96,5.0,5,1,1.0,0.0,finansial,Jalan Soekarno-Hatta
1013421522_5852700917_STOP788,0.92,5.0,5,1,1.0,0.0,rekreasi,"['Jalan Alun-alun Timur', 'Jalan Asia Afrika']"
1013431926_7856163871_STOP318,0.9,5.0,5,1,1.0,0.0,komersial,Jalan Dewi Sartika
1013431926_7990471529_STOP307,0.2625,2.5,4,1,0.0,0.25,komersial,Jalan Kepatihan
1013431926_7990471529_STOP318,0.9475,4.9,10,2,1.0,0.0,"komersial,katering",Jalan Kepatihan
1013431927_7856163872_STOP318,0.535,3.2,5,1,0.6,0.4,komersial,Jalan Kepatihan
1013431927_7990471529_STOP307,0.752,4.2,5,1,0.8,0.2,komersial,Jalan Otto Iskandardinata
1014721714_1014722257_STOP593,0.96,5.0,5,1,1.0,0.0,komersial,Jalan Pelindung Hewan
1014722257_3110265322_STOP593,0.7638,4.15,20,4,0.8,0.2,"komersial,kesehatan,lainnya,finansial",Jalan Mohammad Toha
1014722257_5348770323_STOP227,0.7467,4.2,5,1,0.8,0.0,lainnya,Jalan Mohammad Toha
1014722265_1831360476_STOP470,0.5575,3.3,10,2,0.6,0.4,lainnya,Jalan Pungkur
1014722585_1014722265_STOP30,0.76,4.2,5,1,0.8,0.2,komersial,Jalan Mohammad Toha
1014722585_1014722265_STOP369,0.875,4.8,5,1,1.0,0.0,lainnya,Jalan Mohammad Toha
1014722585_29489136_STOP369,0.7725,4.3,10,2,0.8,0.2,"lainnya,komersial",Jalan Ibu Inggit Ganarsih
1014722585_5355897677_STOP257,0.22,1.8,5,1,0.2,0.8,lainnya,Jalan Mohammad Toha
1014722585_5355897677_STOP842,0.725,4.0,5,1,0.8,0.2,katering,Jalan Mohammad Toha
1014722675_11953687707_STOP226,0.92,5.0,5,1,1.0,0.0,lainnya,Jalan Inhoftank
1014722675_5353902941_STOP607,0.875,4.8,5,1,1.0,0.0,komersial,Jalan Inhoftank
10154700114_10154700107_STOP44,0.6957,3.8,10,2,0.7,0.3,"kesehatan,lainnya",
10166777277_10166777280_STOP139,0.81,4.6,5,1,0.8,0.0,lainnya,Jalan Haji Tatang Sumantri
10166777280_5353902321_STOP139,0.28,1.8,5,1,0.2,0.8,lainnya,Jalan Haji Tatang Sumantri
10167417684_9832971267_STOP435,0.76,4.2,5,1,0.8,0.2,lainnya,Jalan Layang Laswi - Pelajar Pejuang 45
10171739080_3269421803_STOP692,0.735,4.0,5,1,0.8,0.2,katering,Jalan Taman Cibeunying Utara
10171739085_10171739080_STOP665,0.76,4.2,5,1,0.8,0.2,katering,
10171865532_1855697097_STOP172,0.78,4.2,5,1,0.8,0.2,katering,Jalan Cilaki
10173603853_25778195_STOP806,0.92,5.0,5,1,1.0,0.0,lainnya,Jalan Citarum
10173705732_6445381505_STOP575,0.915,4.8,5,1,1.0,0.0,katering,Jalan Citarum
10173744438_1849525812_STOP697,0.895,4.8,5,1,1.0,0.0,lainnya,Jalan Bangka
10173744441_1849525986_STOP556,0.875,4.8,5,1,1.0,0.0,lainnya,Jalan Belitung
10173744442_7211100688_STOP567,0.98,5.0,5,1,1.0,0.0,kesehatan,Jalan Lombok
10173744449_6445776985_STOP667,0.72,4.2,5,1,0.8,0.2,lainnya,Jalan Cisanggarung
